item_id,itemid_company,Serial,Property,item_name,quantity,category,project,specificlocation,location,image,par,condition
202,202,,,Mixer 8 Channel,1,ICT,,STEER HUB,CTI,,https://drive.google.com/file/d/1YDjysfJOaoq4H-GsCOjF4miWik4nt1Ux/view?usp=sharing,WORKING
203,203,,,Mobile Stand,1,ICT,,inside VP Alberts Office,CTI,,https://drive.google.com/file/d/1Qfd6Boco-E52skauwulkxVYEfKCE84U7/view?usp=sharing,WORKING
204,204,,,Multifunction Digital Copier Machine,1,ICT,,OVPRDES,CTI,,https://drive.google.com/file/d/1bvrzzXq0s5YJLPsIO8H8dYDpmQ_xWc4m/view?usp=sharing,DEFECTIVE
205,205,,,Speaker,1,ICT,,ESRC,CTI,,https://drive.google.com/file/d/15QhF6sjIlV-nhrrvFo-CdYgH2KjIjDNf/view?usp=sharing,WORKING
206,206,,,Ultrabook Laptop,1,ICT,,Engr. Albertson Amante,CTI,,https://drive.google.com/file/d/1N7LgpdTkl3oQGw_bWlUYzclIamuRgojC/view?usp=share_link,WORKING
207,207,,,Transcend External Hard Drive 2TB,1,ICT,,Mhagie De Chavez,CTI,https://drive.google.com/file/d/18TEdNK4mGo1lgFuNITMRttuJ_hDmsEYg/view?usp=sharing,,WORKING
208,208,,,Transcend External Hard Drive 2TB,1,ICT,,John Paul Heje,CTI,https://drive.google.com/file/d/18TEdNK4mGo1lgFuNITMRttuJ_hDmsEYg/view?usp=sharing,,WORKING
209,209,,,"27"" iMAC with Retina 5K Display",1,ICT,,DTC,CTI,,https://drive.google.com/file/d/1vtANGssrTZhUbcbB6ivUKpn_gyXiEw5_/view?usp=share_link,WORKING
210,210,,,3D Printer Essentials,1,ICT,DOST PCIEERD - Establishment of BatStateU CTI,ESRC,CTI,,https://drive.google.com/file/d/1QpRo8-PE5abjI-BZtchLpYJt4VyaEas0/view?usp=share_link,WORKING
211,211,,,3D Printer with Filament and Educational Pack,1,ICT,DOST PCIEERD - Establishment of BatStateU CTI,ESRC,CTI,,https://drive.google.com/file/d/1pK9gL2_tg3a9dWOgD8IA1Dr5bxE6I2RI/view?usp=share_link,WORKING
212,212,,,3D Printer,3,ICT,DOST PCIEERD - Establishment of BatStateU CTI,ESRC,CTI,,https://drive.google.com/file/d/1QpRo8-PE5abjI-BZtchLpYJt4VyaEas0/view?usp=sharing,WORKING
213,213,,,Advisor Generated System,1,Technical Equipment,MDS,ESRC,CTI,https://drive.google.com/file/d/1_UFgVFRJiMQNSzkcGxbOXwda3f-EN1l5/view?usp=share_link,,WORKING
214,214,,,Altera FPGA Development Kit,2,Technical Equipment,STF,ESRC,CTI,,,WORKING
215,215,,,Automated Weather Station,2,Technical Equipment,STF,ESRC,CTI,,,WORKING
216,216,,,Battery Charger Model: Energy 8 Plus,1,Technical Equipment,,ESRC,CTI,,https://drive.google.com/file/d/1QHre9FpQWzdhoBy9QdlCEGvpw0feuLfJ/view?usp=share_link,WORKING
217,217,,,"Bench Magnifier, Table Clamp Mount w/ accessories",1,Technical Equipment,RTF,ESRC,CTI,,,WORKING
218,218,,,Bench Top Ioniser w/ mounting Arm & Power Cable,1,Technical Equipment,DOST PCIEERD - Establishment of BatStateU CTI,ESRC,CTI,,,WORKING
219,219,,,"Combined Frequency Counter and Function Generator with AM/FM Modulation, Model GFG-8255",2,Technical Equipment,,ESRC,CTI,,,WORKING
220,220,,,"Current Clamp Adapter, Model: Fluke i410",1,Technical Equipment,,ESRC,CTI,,,WORKING
221,221,,,Data Acquisition Board,1,Technical Equipment,STF,ESRC,CTI,https://drive.google.com/file/d/1BMXtoGXX-kg9QNTd0xsMCMKF1JhDZjbk/view?usp=share_link,,WORKING
222,222,,,DAQ System,1,Technical Equipment,,ESRC,CTI,,,WORKING
223,223,,,Digital Handheld Multimeter,1,Technical Equipment,DOST PCIEERD - Establishment of BatStateU CTI,ESRC,CTI,,https://drive.google.com/file/d/1AsvSNklV45Tiy56sh-TGMvEs_kbYvz66/view?usp=sharing,WORKING
224,224,,,Double-Sided UV Exposure Unit,1,Technical Equipment,DOST PCIEERD - Establishment of BatStateU CTI,ESRC,CTI,,,WORKING
225,225,,,"Embedded Control & Monitoring Suite, USB",1,Technical Equipment,MDS,ESRC,CTI,https://drive.google.com/file/d/1BMXtoGXX-kg9QNTd0xsMCMKF1JhDZjbk/view?usp=share_link,,WORKING
226,226,,,Eureka Water Probes,1,Technical Equipment,,ESRC,CTI,,,WORKING
227,227,,,Fabrication and Materials of Biodiesel Reactor ,1,Technical Equipment,,AUTOMATIC MOTORS,CTI,,https://drive.google.com/file/d/1oS8DBk7_7NzAYa-83JwD1Au2k_XaQPbp/view?usp=share_link,WORKING
228,228,,,Fixed Wing Aerial Drone w/ Multispectural Camera,1,Technical Equipment,STF,ESRC,CTI,,https://drive.google.com/file/d/17DliJ8icc8KU_7tf8XQN4jAhOg_veAYl/view?usp=share_link,WORKING
229,229,,,Gas Detector,1,Technical Equipment,STF,ESRC,CTI,,,WORKING
230,230,,,Modular Engineering Platform,1,Technical Equipment,MDS,ESRC,CTI,,,WORKING
231,231,,,myRIO University Bundle,8,Technical Equipment,MDS,ESRC,CTI,,,WORKING
232,232,,,Multi Parameter Water Quality Meter,1,Technical Equipment,STF,ESRC,CTI,,https://drive.google.com/file/d/17DliJ8icc8KU_7tf8XQN4jAhOg_veAYl/view?usp=share_link,WORKING
233,233,,,NI DATA Acquisition Platform,1,Technical Equipment,STF,ESRC,CTI,,,WORKING
234,234,,,NI Dynamic Signal Analyzer,1,Technical Equipment,STF,ESRC,CTI,,,WORKING
235,235,,,Onset Water Level Logger,3,Technical Equipment,STF,ESRC,CTI,,https://drive.google.com/file/d/17DliJ8icc8KU_7tf8XQN4jAhOg_veAYl/view?usp=share_link,WORKING
236,236,,,Optic USB Base Station (BaseU-4),1,Technical Equipment,,ESRC,CTI,,https://drive.google.com/file/d/13r9tXcDfaGqYS7lGQ4tVujAe9IHtFGIW/view?usp=share_link,WORKING
237,237,,,Oscilloscope Probe,1,Technical Equipment,DOST PCIEERD - Establishment of BatStateU CTI,ESRC,CTI,,https://drive.google.com/file/d/1o5kgQkhDexd1kxHwjV0cKjvQgjwWyKXU/view?usp=sharing,WORKING
238,238,,,Platform for sensors and Instrumentaion Teaching Research,1,Technical Equipment,STF,ESRC,CTI,,,WORKING
239,239,,,Power Block,1,Technical Equipment,MDS,ESRC,CTI,,,WORKING
240,240,,,Power Dock,1,Technical Equipment,MDS,ESRC,CTI,,,WORKING
241,241,,,Prototype Board,1,Technical Equipment,STF,ESRC,CTI,,,WORKING
242,242,,,PXI 4498,1,Technical Equipment,MDS,ESRC,CTI,,,WORKING
243,243,,,Replacement Multi-Meter Fuse,1,Technical Equipment,N/A,ESRC,CTI,,https://drive.google.com/file/d/1tvwTHUqBYYWb9cxBA0ywFkWtNjYACfTY/view?usp=share_link,WORKING
244,244,,,Sound Vibration Tool Kit,1,Technical Equipment,MDS,ESRC,CTI,https://drive.google.com/file/d/1BMXtoGXX-kg9QNTd0xsMCMKF1JhDZjbk/view?usp=share_link,,WORKING
245,245,,,SMD Rework Station,1,Technical Equipment,RTF,ESRC,CTI,,,WORKING
246,246,,,Targets System Kit,1,Technical Equipment,MDS,ESRC,CTI,,,WORKING
247,247,,,Temperature Sensor,6,Technical Equipment,STF,ESRC,CTI,,,WORKING
248,248,,,"Touch Screen Monitor, 15""",1,Technical Equipment,MDS,ESRC,CTI,,,WORKING
249,249,,,"USB Dongle, single user",1,Technical Equipment,MDS,CTI,CTI,,,WORKING
250,250,,,"""USB-6009 14 Bit, 48 kS/s Multifunction I/O & Daqmx Software""",1,Technical Equipment,MDS,ESRC,CTI,,,WORKING
251,251,,,USB-6353,1,Technical Equipment,MDS,ESRC,CTI,,,WORKING
252,252,,,Water Flow/ Current Meter,2,Technical Equipment,STF,ESRC,CTI,,https://drive.google.com/file/d/17DliJ8icc8KU_7tf8XQN4jAhOg_veAYl/view?usp=share_link,WORKING
253,253,,,Weather Monitoring System,2,Technical Equipment,MDS,ESRC,CTI,,,WORKING
254,254,,,200MHz 4 Analog and 16 Digital Channel Mixed Signal Oscilloscope,1,Technical Equipment,DOST PCIEERD - Establishment of BatStateU CTI,ESRC,CTI,,,WORKING
255,255,,,2.2 GHz Celeron 1020E Dual Core Windows 7,1,Technical Equipment,MDS,ESRC,CTI,https://drive.google.com/file/d/1BMXtoGXX-kg9QNTd0xsMCMKF1JhDZjbk/view?usp=share_link,,WORKING
256,256,,,"2-CH, 100MS/s Digitizer w/ 64MB/ch Onboard Memory",1,Technical Equipment,MDS,ESRC,CTI,https://drive.google.com/file/d/1BMXtoGXX-kg9QNTd0xsMCMKF1JhDZjbk/view?usp=share_link,,WORKING
257,257,,,"6 1/2 Digitflex DMM, LCR",1,Technical Equipment,MDS,ESRC,CTI,https://drive.google.com/file/d/1BMXtoGXX-kg9QNTd0xsMCMKF1JhDZjbk/view?usp=share_link,,WORKING
